epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.2844,2.47029,4.18049,1.85914,0.07398,0.21826,0.07483,0.02748,2.15085,2.66536,1.38833,0.000236583,0.000236583,0.000236583
2,102.631,2.21525,3.23883,1.66782,0.11087,0.29013,0.13148,0.05559,1.87402,2.3692,1.32275,0.000465187,0.000465187,0.000465187
3,136.717,2.19007,3.02055,1.65679,0.13986,0.3063,0.18551,0.08237,1.88973,2.20486,1.39001,0.000684365,0.000684365,0.000684365
4,169.827,2.14681,2.85662,1.65018,0.2157,0.33153,0.23675,0.10533,1.82025,2.1082,1.35653,0.000671588,0.000671588,0.000671588
5,203.163,2.11444,2.69128,1.62375,0.26097,0.38703,0.30645,0.14198,1.80371,1.88425,1.34344,0.000657451,0.000657451,0.000657451
6,237.383,2.05855,2.57942,1.60934,0.30563,0.41599,0.34243,0.16898,1.73761,1.81102,1.32277,0.000643314,0.000643314,0.000643314
7,271.039,2.05313,2.52449,1.61276,0.34441,0.43938,0.33713,0.15185,1.85777,1.85474,1.35681,0.000629177,0.000629177,0.000629177
8,305.105,2.0131,2.41827,1.58542,0.38685,0.4582,0.39073,0.19315,1.70052,1.64725,1.28678,0.00061504,0.00061504,0.00061504
9,339.028,1.98748,2.35861,1.57571,0.39731,0.47364,0.42784,0.20927,1.70718,1.59277,1.30578,0.000600902,0.000600902,0.000600902
10,373.553,1.98351,2.33337,1.57973,0.45471,0.4581,0.44352,0.22227,1.67946,1.56032,1.2793,0.000586765,0.000586765,0.000586765
11,407.245,1.96983,2.26271,1.55121,0.45308,0.44508,0.46123,0.22994,1.68349,1.56023,1.28226,0.000572628,0.000572628,0.000572628
12,441.004,1.95389,2.23165,1.5433,0.45409,0.52819,0.46859,0.23341,1.63196,1.52665,1.25911,0.000558491,0.000558491,0.000558491
13,475.33,1.95003,2.21955,1.55317,0.52096,0.53371,0.52714,0.25518,1.6927,1.4564,1.27668,0.000544354,0.000544354,0.000544354
14,509.561,1.94791,2.16665,1.53361,0.45047,0.57531,0.52745,0.2515,1.66577,1.45798,1.27687,0.000530216,0.000530216,0.000530216
15,543.149,1.94061,2.13602,1.53649,0.54402,0.54312,0.56184,0.28912,1.60903,1.42075,1.23896,0.000516079,0.000516079,0.000516079
16,578.379,1.92295,2.13797,1.52766,0.56458,0.51869,0.56869,0.29347,1.63539,1.41332,1.28268,0.000501942,0.000501942,0.000501942
17,612.421,1.9011,2.09295,1.52846,0.57901,0.56848,0.60127,0.30214,1.62857,1.36558,1.25608,0.000487805,0.000487805,0.000487805
18,646.818,1.90473,2.05296,1.51369,0.61202,0.51999,0.60999,0.31636,1.57898,1.31942,1.2318,0.000473668,0.000473668,0.000473668
19,680.078,1.89076,2.03025,1.50482,0.61262,0.54157,0.62351,0.3149,1.64217,1.32412,1.25427,0.00045953,0.00045953,0.00045953
20,714.361,1.88413,2.01601,1.49938,0.58222,0.58732,0.62591,0.32313,1.61145,1.33556,1.23151,0.000445393,0.000445393,0.000445393
21,748.621,1.88512,2.02406,1.51105,0.63776,0.55289,0.63257,0.31483,1.65147,1.31257,1.27938,0.000431256,0.000431256,0.000431256
22,782.368,1.85128,1.96263,1.48612,0.63932,0.5784,0.65446,0.33881,1.58287,1.26021,1.24562,0.000417119,0.000417119,0.000417119
23,816.227,1.846,1.9516,1.48543,0.62794,0.61758,0.67743,0.34603,1.56666,1.28489,1.22315,0.000402982,0.000402982,0.000402982
24,850.393,1.8367,1.92207,1.49232,0.68724,0.57321,0.66226,0.33928,1.59944,1.23563,1.2474,0.000388844,0.000388844,0.000388844
25,884.219,1.83783,1.91508,1.48122,0.64129,0.6045,0.67763,0.33782,1.60087,1.23036,1.25595,0.000374707,0.000374707,0.000374707
26,918.265,1.82993,1.90603,1.46745,0.65417,0.63503,0.68651,0.35901,1.55233,1.18603,1.2234,0.00036057,0.00036057,0.00036057
27,952.261,1.81432,1.8909,1.47088,0.67007,0.61425,0.6983,0.35622,1.60243,1.18249,1.24338,0.000346433,0.000346433,0.000346433
