epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4773,1.82339,4.4797,1.577,0.03152,0.40111,0.03923,0.02545,1.21866,3.78957,1.03967,7.337e-05,7.337e-05,7.337e-05
2,42.8035,1.10492,3.89495,1.07683,0.02324,0.68064,0.06999,0.04849,0.95566,3.6407,0.91088,0.000150372,0.000150372,0.000150372
3,46.869,0.9585,3.55654,0.98028,0.02274,0.76181,0.11391,0.08732,0.78319,3.52796,0.8536,0.000224205,0.000224205,0.000224205
4,50.6323,0.9228,3.28209,0.95532,0.02474,0.79679,0.15226,0.12248,0.7605,3.38897,0.84211,0.000294869,0.000294869,0.000294869
5,54.3958,0.91016,2.95064,0.95932,0.99508,0.07139,0.18998,0.16124,0.72896,3.25775,0.8424,0.000362362,0.000362362,0.000362362
6,58.0822,0.88712,2.65977,0.96754,0.9953,0.08887,0.22696,0.18932,0.72402,3.06168,0.84094,0.000426687,0.000426687,0.000426687
7,61.5119,0.87138,2.30396,0.95515,0.70385,0.16421,0.41464,0.3261,0.7999,2.3807,0.88421,0.000487841,0.000487841,0.000487841
8,65.119,0.89678,2.08612,0.99272,0.6442,0.26638,0.49406,0.39382,0.71183,2.2457,0.87979,0.000545826,0.000545826,0.000545826
9,68.7542,0.89206,1.94803,0.98167,0.69104,0.24309,0.51242,0.41018,0.76113,2.28105,0.90447,0.000561347,0.000561347,0.000561347
10,71.9534,0.85264,1.76107,0.97313,0.66986,0.46542,0.62457,0.51061,0.73731,1.92904,0.90543,0.000548141,0.000548141,0.000548141
11,75.5878,0.83484,1.66139,0.95894,0.68143,0.59004,0.73954,0.59163,0.69884,1.64184,0.88696,0.000534934,0.000534934,0.000534934
12,78.7414,0.78215,1.49885,0.95231,0.77602,0.72881,0.80884,0.66447,0.64972,1.39983,0.87413,0.000521727,0.000521727,0.000521727
13,82.4542,0.80836,1.45332,0.95298,0.80493,0.75887,0.84359,0.70332,0.60907,1.20488,0.86448,0.000508521,0.000508521,0.000508521
14,86.1624,0.73174,1.37759,0.92201,0.81021,0.86029,0.88543,0.73269,0.62431,1.02231,0.85869,0.000495314,0.000495314,0.000495314
15,89.4123,0.75041,1.3673,0.93556,0.8309,0.87269,0.92417,0.77114,0.60895,0.87802,0.84989,0.000482108,0.000482108,0.000482108
16,93.2631,0.75353,1.25978,0.91249,0.88141,0.84264,0.91886,0.76898,0.61322,0.79903,0.84849,0.000468901,0.000468901,0.000468901
17,96.4122,0.76175,1.20221,0.92107,0.93567,0.86895,0.93726,0.79162,0.581,0.71848,0.84791,0.000455694,0.000455694,0.000455694
18,100.198,0.71474,1.16345,0.92473,0.91381,0.89867,0.94334,0.79777,0.57418,0.69444,0.85362,0.000442488,0.000442488,0.000442488
19,104.007,0.69479,1.09772,0.92011,0.92484,0.9004,0.94643,0.79025,0.57627,0.68357,0.85735,0.000429281,0.000429281,0.000429281
20,107.114,0.71107,1.10394,0.92096,0.89581,0.91097,0.93636,0.78583,0.55789,0.66589,0.85247,0.000416075,0.000416075,0.000416075
21,110.766,0.7147,1.09014,0.92161,0.91767,0.92041,0.95574,0.81417,0.52819,0.62429,0.84087,0.000402868,0.000402868,0.000402868
22,114.084,0.66108,1.01703,0.90112,0.92653,0.92794,0.97267,0.82836,0.52699,0.6044,0.83805,0.000389661,0.000389661,0.000389661
