epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3097,1.92998,4.30072,1.57942,0.00111,0.33333,0.00064,0.00022,1.35181,4.00535,1.34637,0.0001,0.0001,0.0001
2,24.2893,1.33873,4.40538,1.19973,0.00333,1,0.87266,0.43143,1.26753,3.47769,1.05945,0.000217822,0.000217822,0.000217822
3,26.0285,1.24392,2.85576,1.04613,0.00333,1,0.94344,0.57413,1.05892,3.25249,0.97733,0.000333268,0.000333268,0.000333268
4,27.5998,1.26737,2.22817,1.05928,0.00333,1,0.97267,0.56008,1.08221,3.2355,0.96898,0.000446338,0.000446338,0.000446338
5,29.1935,1.34189,2.23314,1.09828,1,0.31805,0.99026,0.58837,1.10673,3.0255,1.03512,0.000557032,0.000557032,0.000557032
6,30.8352,1.29731,2.06655,1.06503,0.91063,0.42511,0.84894,0.45256,1.07907,3.20347,0.99011,0.00066535,0.00066535,0.00066535
7,32.5198,1.20593,2.13381,1.03535,0.95848,0.66667,0.88369,0.5228,1.20591,3.14481,1.00837,0.000771292,0.000771292,0.000771292
8,34.1583,1.21536,1.89528,1.05291,1,0.56678,0.98277,0.63166,1.03729,3.14859,1.0097,0.000874858,0.000874858,0.000874858
9,35.9449,1.30651,1.98448,1.08333,0.94368,0.875,0.95708,0.60728,1.06846,3.28797,0.99154,0.000976048,0.000976048,0.000976048
10,37.4932,1.14049,1.8157,1.02548,1,0.07806,0.89052,0.54985,1.03683,3.25114,1.05079,0.00107486,0.00107486,0.00107486
11,39.1058,1.07532,1.72466,0.98807,0.71351,0.31231,0.72128,0.44983,0.97277,3.06167,1.06562,0.0011713,0.0011713,0.0011713
12,40.6565,1.21135,1.71055,1.04746,0.52789,1,0.80911,0.48081,1.05918,3.21828,1.10453,0.00126536,0.00126536,0.00126536
13,42.3376,1.18592,1.68515,1.02041,0.96279,0.20833,0.59173,0.40379,1.03009,3.16365,1.09955,0.00135705,0.00135705,0.00135705
14,43.947,1.17978,1.6046,1.02164,1,0.40987,0.85729,0.56721,1.14737,2.85145,1.16568,0.00144636,0.00144636,0.00144636
15,45.4434,1.14163,1.5982,1.02128,0.92317,0.50073,0.84929,0.554,1.13727,2.87007,1.20915,0.00153329,0.00153329,0.00153329
16,46.9977,1.0871,1.52652,0.99792,0.95958,1,0.9834,0.71368,0.99285,2.1163,1.08993,0.00161785,0.00161785,0.00161785
17,48.6171,1.09242,1.47491,1.01814,0.95704,1,0.9918,0.73752,0.93328,1.76378,1.11731,0.0016832,0.0016832,0.0016832
18,50.1972,1.15703,1.34835,1.05376,0.9931,0.95833,0.9934,0.6189,1.28168,1.66989,1.23769,0.0016634,0.0016634,0.0016634
19,51.7051,1.29909,1.54648,1.13887,1,0.95328,0.99192,0.69534,1.12343,1.59238,1.088,0.0016436,0.0016436,0.0016436
20,53.2821,1.21247,1.46798,1.08469,0.9589,0.97242,0.9934,0.68824,1.03888,1.53687,1.07675,0.0016238,0.0016238,0.0016238
21,54.7951,1.16488,1.34485,1.02485,0.95789,0.94823,0.99026,0.71387,0.94361,1.57772,1.08256,0.001604,0.001604,0.001604
22,56.4229,1.08736,1.25637,1.04779,0.78245,0.91667,0.91369,0.60637,1.12655,1.59608,1.11377,0.0015842,0.0015842,0.0015842
23,58.1389,1.10242,1.24864,1.03135,0.82548,0.70833,0.83602,0.49787,1.45042,1.80486,1.27512,0.0015644,0.0015644,0.0015644
24,59.6753,1.05632,1.2199,1.00031,0.72822,0.625,0.6815,0.44448,1.34029,1.95419,1.29255,0.0015446,0.0015446,0.0015446
25,61.2238,1.05625,1.17948,1.02158,0.92924,0.75,0.79889,0.56826,1.13057,1.64189,1.1889,0.0015248,0.0015248,0.0015248
26,62.9086,0.99092,1.11271,0.98673,0.89784,0.91667,0.96405,0.67825,1.02207,1.24713,1.09486,0.001505,0.001505,0.001505
27,64.408,0.99443,1.07542,1.00685,0.95967,0.99187,0.985,0.71075,0.95897,1.17259,1.0458,0.0014852,0.0014852,0.0014852
